"#","GUID","DateLastUpdated","Label","prefLabel","IE Class","InformationElement:ActedUpon","InformationElement:Consulted","Parameters","Specification","AuthoritiesDefaults","Description","Criterion Label","Type","Resource Type","Dimension","Criterion","Enhancement","Examples","Source","References","Example Implementations (Mechanisms)","Link to Specification Source Code","Notes","IssueState","IssueLabels","UseCases"
"296","fbe47441-500f-44c7-a1bd-1e872edc5266","2024-09-18","MULTIRECORD_MEASURE_COUNT_COMPLIANT_DCTYPE_STANDARD","Measurement over MultiRecord Counting Compliance of Validation dc:type Standard","Record-level","bdq:VALIDATION_DCTYPE_STANDARD.Response","","","Count the number of VALIDATION_DCTYPE_STANDARD in the MultiRecord that have Response.result=COMPLIANT.","DCMI Type Vocabulary"" {[http://purl.org/dc/terms/DCMIType]} {""DCMI Type Vocabulary List Of Terms"" [https://www.dublincore.org/specifications/dublin-core/dcmi-type-vocabulary/2010-10-11/]}","Count the number of VALIDATION_DCTYPE_STANDARD in a record set that are COMPLIANT","Conformance: standard","Measure","MultiRecord","Conformance","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Control, compare the Response.result of this measure with the total number of records to assess work needed on the record set.","open","TG2 Validation OTHER Test VOCABULARY Conformance ISO/DCMI STANDARD CORE","bdq:Taxon-Management, bdq:Alien-Species, bdq:Spatial-Temporal_Patterns, bdq:Record-Management, bdq:Biotic-Relationships"
"295","a94e986e-dbc8-4147-872d-5f2727945654","2024-09-18","MULTIRECORD_MEASURE_QA_DECIMALLONGITUDE_NOTEMPTY","Measurement over MultiRecord for QualityAssurance of Validation dwc:decimalLongitude Not Empty","dcterms:Location","bdq:VALIDATION_DECIMALLONGITUDE_NOTEMPTY.Response","","","COMPLETE if every VALIDATION_DECIMALLONGITUDE_NOTEMPTY in the MultiRecord has Response.result=COMPLIANT; otherwise NOT_COMPLETE.","","Measure if all VALIDATION_DECIMALLONGITUDE_NOTEMPTY in a record set are COMPLIANT","Completeness: notempty","Measure","MultiRecord","Completeness","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Assurance, filter record set until this measure is COMPLETE.","open","TG2 Validation SPACE Test Completeness CORE","bdq:Taxon-Management, bdq:Alien-Species, bdq:Spatial-Temporal_Patterns, bdq:Record-Management, bdq:Biotic-Relationships"
"296","f948a30e-8084-48d5-b1ca-d77c476f181f","2024-09-18","MULTIRECORD_MEASURE_COUNT_COMPLIANT_DECIMALLONGITUDE_NOTEMPTY","Measurement over MultiRecord Counting Compliance of Validation dwc:decimalLongitude Not Empty","dcterms:Location","bdq:VALIDATION_DECIMALLONGITUDE_NOTEMPTY.Response","","","Count the number of VALIDATION_DECIMALLONGITUDE_NOTEMPTY in the MultiRecord that have Response.result=COMPLIANT.","","Count the number of VALIDATION_DECIMALLONGITUDE_NOTEMPTY in a record set that are COMPLIANT","Completeness: notempty","Measure","MultiRecord","Completeness","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Control, compare the Response.result of this measure with the total number of records to assess work needed on the record set.","open","TG2 Validation SPACE Test Completeness CORE","bdq:Taxon-Management, bdq:Alien-Species, bdq:Spatial-Temporal_Patterns, bdq:Record-Management, bdq:Biotic-Relationships"
"295","942f63bd-d19d-4214-bf8e-cec0055b8909","2024-09-18","MULTIRECORD_MEASURE_QA_COUNTRYCODE_NOTEMPTY","Measurement over MultiRecord for QualityAssurance of Validation dwc:countryCode Not Empty","dcterms:Location","bdq:VALIDATION_COUNTRYCODE_NOTEMPTY.Response","","","COMPLETE if every VALIDATION_COUNTRYCODE_NOTEMPTY in the MultiRecord has Response.result=COMPLIANT; otherwise NOT_COMPLETE.","","Measure if all VALIDATION_COUNTRYCODE_NOTEMPTY in a record set are COMPLIANT","Completeness: notempty","Measure","MultiRecord","Completeness","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Assurance, filter record set until this measure is COMPLETE.","open","TG2 Validation SPACE CODED Test VOCABULARY NEEDS WORK Completeness CORE","bdq:Spatial-Temporal_Patterns, bdq:Record-Management"
"296","d71be8d4-1a04-4816-90c5-49808c823651","2024-09-18","MULTIRECORD_MEASURE_COUNT_COMPLIANT_COUNTRYCODE_NOTEMPTY","Measurement over MultiRecord Counting Compliance of Validation dwc:countryCode Not Empty","dcterms:Location","bdq:VALIDATION_COUNTRYCODE_NOTEMPTY.Response","","","Count the number of VALIDATION_COUNTRYCODE_NOTEMPTY in the MultiRecord that have Response.result=COMPLIANT.","","Count the number of VALIDATION_COUNTRYCODE_NOTEMPTY in a record set that are COMPLIANT","Completeness: notempty","Measure","MultiRecord","Completeness","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Control, compare the Response.result of this measure with the total number of records to assess work needed on the record set.","open","TG2 Validation SPACE CODED Test VOCABULARY NEEDS WORK Completeness CORE","bdq:Spatial-Temporal_Patterns, bdq:Record-Management"
"295","4fccf163-9336-4f48-996c-57f5f66e72db","2024-09-18","MULTIRECORD_MEASURE_QA_LICENSE_NOTEMPTY","Measurement over MultiRecord for QualityAssurance of Validation dcterms:license Not Empty","Record-level","bdq:VALIDATION_LICENSE_NOTEMPTY.Response","","","COMPLETE if every VALIDATION_LICENSE_NOTEMPTY in the MultiRecord has Response.result=COMPLIANT; otherwise NOT_COMPLETE.","","Measure if all VALIDATION_LICENSE_NOTEMPTY in a record set are COMPLIANT","Completeness: notempty","Measure","MultiRecord","Completeness","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Assurance, filter record set until this measure is COMPLETE.","open","TG2 Validation OTHER Test Completeness CORE","bdq:Record-Management"
"296","47ee20d9-5087-4f76-a494-6fea05e50b8b","2024-09-18","MULTIRECORD_MEASURE_COUNT_COMPLIANT_LICENSE_NOTEMPTY","Measurement over MultiRecord Counting Compliance of Validation dcterms:license Not Empty","Record-level","bdq:VALIDATION_LICENSE_NOTEMPTY.Response","","","Count the number of VALIDATION_LICENSE_NOTEMPTY in the MultiRecord that have Response.result=COMPLIANT.","","Count the number of VALIDATION_LICENSE_NOTEMPTY in a record set that are COMPLIANT","Completeness: notempty","Measure","MultiRecord","Completeness","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Control, compare the Response.result of this measure with the total number of records to assess work needed on the record set.","open","TG2 Validation OTHER Test Completeness CORE","bdq:Record-Management"
"297","ef05b45b-13b8-4877-9e9d-fa44b332d83c","2024-09-18","MULTIRECORD_MEASURE_QA_POLYNOMIAL_CONSISTENT","Measurement over MultiRecord for QualityAssurance of Validation Polynomial Consistent","dwc:Taxon","bdq:VALIDATION_POLYNOMIAL_CONSISTENT.Response","","","COMPLETE if every VALIDATION_POLYNOMIAL_CONSISTENT in the MultiRecord has Response.result=COMPLIANT or Response.status=INTERNAL_PREREQUISITES_NOT_MET, otherwise NOT_COMPLETE.","","Measure if all VALIDATION_POLYNOMIAL_CONSISTENT in a record set are COMPLIANT or INTERNAL_PREREQUISITES_NOT_MET (indicating some empty value)","Consistency: consistent","Measure","MultiRecord","Consistency","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Assurance, filter record set until this measure is COMPLETE.","open","TG2 Validation NAME Test Consistency CORE","bdq:Record-Management, bdq:Taxon-Management"
"296","7da5428e-87b2-4ec2-be82-05b9398b7577","2024-09-18","MULTIRECORD_MEASURE_COUNT_COMPLIANT_POLYNOMIAL_CONSISTENT","Measurement over MultiRecord Counting Compliance of Validation Polynomial Consistent","dwc:Taxon","bdq:VALIDATION_POLYNOMIAL_CONSISTENT.Response","","","Count the number of VALIDATION_POLYNOMIAL_CONSISTENT in the MultiRecord that have Response.result=COMPLIANT.","","Count the number of VALIDATION_POLYNOMIAL_CONSISTENT in a record set that are COMPLIANT","Consistency: consistent","Measure","MultiRecord","Consistency","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Control, compare the Response.result of this measure with the total number of records to assess work needed on the record set.","open","TG2 Validation NAME Test Consistency CORE","bdq:Record-Management, bdq:Taxon-Management"
"295","4d999a65-a431-4a76-b591-e0d86dcf244b","2024-09-18","MULTIRECORD_MEASURE_QA_DCTYPE_NOTEMPTY","Measurement over MultiRecord for QualityAssurance of Validation dc:type Not Empty","Record-level","bdq:VALIDATION_DCTYPE_NOTEMPTY.Response","","","COMPLETE if every VALIDATION_DCTYPE_NOTEMPTY in the MultiRecord has Response.result=COMPLIANT; otherwise NOT_COMPLETE.","","Measure if all VALIDATION_DCTYPE_NOTEMPTY in a record set are COMPLIANT","Completeness: notempty","Measure","MultiRecord","Completeness","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Assurance, filter record set until this measure is COMPLETE.","open","TG2 Validation OTHER Test Completeness CORE","bdq:Taxon-Management, bdq:Alien-Species, bdq:Spatial-Temporal_Patterns, bdq:Record-Management, bdq:Biotic-Relationships"
"296","f041ab17-d834-4586-aa6b-090de2e571a8","2024-09-18","MULTIRECORD_MEASURE_COUNT_COMPLIANT_DCTYPE_NOTEMPTY","Measurement over MultiRecord Counting Compliance of Validation dc:type Not Empty","Record-level","bdq:VALIDATION_DCTYPE_NOTEMPTY.Response","","","Count the number of VALIDATION_DCTYPE_NOTEMPTY in the MultiRecord that have Response.result=COMPLIANT.","","Count the number of VALIDATION_DCTYPE_NOTEMPTY in a record set that are COMPLIANT","Completeness: notempty","Measure","MultiRecord","Completeness","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Control, compare the Response.result of this measure with the total number of records to assess work needed on the record set.","open","TG2 Validation OTHER Test Completeness CORE","bdq:Taxon-Management, bdq:Alien-Species, bdq:Spatial-Temporal_Patterns, bdq:Record-Management, bdq:Biotic-Relationships"
"295","241a279c-76d5-499b-ab49-a47ad7f8df50","2024-09-18","MULTIRECORD_MEASURE_QA_BASISOFRECORD_STANDARD","Measurement over MultiRecord for QualityAssurance of Validation dwc:basisOfRecord Standard","Record-level","bdq:VALIDATION_BASISOFRECORD_STANDARD.Response","","","COMPLETE if every VALIDATION_BASISOFRECORD_STANDARD in the MultiRecord has Response.result=COMPLIANT; otherwise NOT_COMPLETE.","bdq:sourceAuthority default = ""Darwin Core basisOfRecord"" {[https://dwc.tdwg.org/terms/#dwc:basisOfRecord]}{dwc:basisOfRecord vocabulary [https://rs.gbif.org/vocabulary/dwc/basis_of_record.xml]}","Measure if all VALIDATION_BASISOFRECORD_STANDARD in a record set are COMPLIANT","Conformance: standard","Measure","MultiRecord","Conformance","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Assurance, filter record set until this measure is COMPLETE.","open","TG2 Validation OTHER Test VOCABULARY Conformance Parameterized CORE","bdq:Taxon-Management, bdq:Alien-Species, bdq:Spatial-Temporal_Patterns, bdq:Record-Management, bdq:Biotic-Relationships"
"296","f5dd74bd-6a22-4792-b675-c7ccf2a2c103","2024-09-18","MULTIRECORD_MEASURE_COUNT_COMPLIANT_BASISOFRECORD_STANDARD","Measurement over MultiRecord Counting Compliance of Validation dwc:basisOfRecord Standard","Record-level","bdq:VALIDATION_BASISOFRECORD_STANDARD.Response","","","Count the number of VALIDATION_BASISOFRECORD_STANDARD in the MultiRecord that have Response.result=COMPLIANT.","bdq:sourceAuthority default = ""Darwin Core basisOfRecord"" {[https://dwc.tdwg.org/terms/#dwc:basisOfRecord]}{dwc:basisOfRecord vocabulary [https://rs.gbif.org/vocabulary/dwc/basis_of_record.xml]}","Count the number of VALIDATION_BASISOFRECORD_STANDARD in a record set that are COMPLIANT","Conformance: standard","Measure","MultiRecord","Conformance","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Control, compare the Response.result of this measure with the total number of records to assess work needed on the record set.","open","TG2 Validation OTHER Test VOCABULARY Conformance Parameterized CORE","bdq:Taxon-Management, bdq:Alien-Species, bdq:Spatial-Temporal_Patterns, bdq:Record-Management, bdq:Biotic-Relationships"
"295","2a9d4cfd-815a-46e0-bb51-60724582b762","2024-09-18","MULTIRECORD_MEASURE_QA_TAXON_NOTEMPTY","Measurement over MultiRecord for QualityAssurance of Validation dwc:Taxon Not Empty","dwc:Taxon","bdq:VALIDATION_TAXON_NOTEMPTY.Response","","","COMPLETE if every VALIDATION_TAXON_NOTEMPTY in the MultiRecord has Response.result=COMPLIANT; otherwise NOT_COMPLETE.","","Measure if all VALIDATION_TAXON_NOTEMPTY in a record set are COMPLIANT","Completeness: notempty","Measure","MultiRecord","Completeness","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Assurance, filter record set until this measure is COMPLETE.","open","TG2 Validation NAME Test Completeness CORE","bdq:Taxon-Management, bdq:Alien-Species, bdq:Spatial-Temporal_Patterns, bdq:Record-Management, bdq:Biotic-Relationships"
"296","54d290e8-ac48-4f31-8af3-676363573217","2024-09-18","MULTIRECORD_MEASURE_COUNT_COMPLIANT_TAXON_NOTEMPTY","Measurement over MultiRecord Counting Compliance of Validation dwc:Taxon Not Empty","dwc:Taxon","bdq:VALIDATION_TAXON_NOTEMPTY.Response","","","Count the number of VALIDATION_TAXON_NOTEMPTY in the MultiRecord that have Response.result=COMPLIANT.","","Count the number of VALIDATION_TAXON_NOTEMPTY in a record set that are COMPLIANT","Completeness: notempty","Measure","MultiRecord","Completeness","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Control, compare the Response.result of this measure with the total number of records to assess work needed on the record set.","open","TG2 Validation NAME Test Completeness CORE","bdq:Taxon-Management, bdq:Alien-Species, bdq:Spatial-Temporal_Patterns, bdq:Record-Management, bdq:Biotic-Relationships"
"297","49d756a8-e654-4267-a290-d1def5d2c5f9","2024-09-18","MULTIRECORD_MEASURE_QA_MINDEPTH_INRANGE","Measurement over MultiRecord for QualityAssurance of Validation dwc:minimumDepthInMeters In Range","dcterms:Location","bdq:VALIDATION_MINDEPTH_INRANGE.Response","","","COMPLETE if every VALIDATION_MINDEPTH_INRANGE in the MultiRecord has Response.result=COMPLIANT or Response.status=INTERNAL_PREREQUISITES_NOT_MET, otherwise NOT_COMPLETE.","bdq:minimumValidDepthInMeters default=""0"",bdq:maximumValidDepthInMeters default=""11000""","Measure if all VALIDATION_MINDEPTH_INRANGE in a record set are COMPLIANT or INTERNAL_PREREQUISITES_NOT_MET (indicating some empty value)","Conformance: inrange","Measure","MultiRecord","Conformance","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Assurance, filter record set until this measure is COMPLETE.","open","TG2 Validation SPACE Test Conformance Parameterized CORE","bdq:Spatial-Temporal_Patterns, bdq:Record-Management"
"296","9c66c116-6644-45b4-b4c7-db7a4ee7c500","2024-09-18","MULTIRECORD_MEASURE_COUNT_COMPLIANT_MINDEPTH_INRANGE","Measurement over MultiRecord Counting Compliance of Validation dwc:minimumDepthInMeters In Range","dcterms:Location","bdq:VALIDATION_MINDEPTH_INRANGE.Response","","","Count the number of VALIDATION_MINDEPTH_INRANGE in the MultiRecord that have Response.result=COMPLIANT.","bdq:minimumValidDepthInMeters default=""0"",bdq:maximumValidDepthInMeters default=""11000""","Count the number of VALIDATION_MINDEPTH_INRANGE in a record set that are COMPLIANT","Conformance: inrange","Measure","MultiRecord","Conformance","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Control, compare the Response.result of this measure with the total number of records to assess work needed on the record set.","open","TG2 Validation SPACE Test Conformance Parameterized CORE","bdq:Spatial-Temporal_Patterns, bdq:Record-Management"
"297","44f00697-ca66-43cf-8f16-646b40c0f514","2024-09-18","MULTIRECORD_MEASURE_QA_MINELEVATION_LESSTHAN_MAXELEVATION","Measurement over MultiRecord for QualityAssurance of Validation dwc:minimumElevationInMeters Less Than dwcmaximumElevationInMeters","dcterms:Location","bdq:VALIDATION_MINELEVATION_LESSTHAN_MAXELEVATION.Response","","","COMPLETE if every VALIDATION_MINELEVATION_LESSTHAN_MAXELEVATION in the MultiRecord has Response.result=COMPLIANT or Response.status=INTERNAL_PREREQUISITES_NOT_MET, otherwise NOT_COMPLETE.","","Measure if all VALIDATION_MINELEVATION_LESSTHAN_MAXELEVATION in a record set are COMPLIANT or INTERNAL_PREREQUISITES_NOT_MET (indicating some empty value)","Conformance: maxelevation","Measure","MultiRecord","Conformance","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Assurance, filter record set until this measure is COMPLETE.","open","TG2 Validation SPACE Test Conformance CORE","bdq:Spatial-Temporal_Patterns, bdq:Record-Management"
"296","be2eb717-b390-47d1-b7ba-965a1101e215","2024-09-18","MULTIRECORD_MEASURE_COUNT_COMPLIANT_MINELEVATION_LESSTHAN_MAXELEVATION","Measurement over MultiRecord Counting Compliance of Validation dwc:minimumElevationInMeters Less Than dwcmaximumElevationInMeters","dcterms:Location","bdq:VALIDATION_MINELEVATION_LESSTHAN_MAXELEVATION.Response","","","Count the number of VALIDATION_MINELEVATION_LESSTHAN_MAXELEVATION in the MultiRecord that have Response.result=COMPLIANT.","","Count the number of VALIDATION_MINELEVATION_LESSTHAN_MAXELEVATION in a record set that are COMPLIANT","Conformance: maxelevation","Measure","MultiRecord","Conformance","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Control, compare the Response.result of this measure with the total number of records to assess work needed on the record set.","open","TG2 Validation SPACE Test Conformance CORE","bdq:Spatial-Temporal_Patterns, bdq:Record-Management"
"297","d94b0130-7a13-4fa8-955c-eff5c47bd9de","2024-09-18","MULTIRECORD_MEASURE_QA_COORDINATEUNCERTAINTY_INRANGE","Measurement over MultiRecord for QualityAssurance of Validation dwc:coordinateUncertaintyInMeters In Range","dcterms:Location","bdq:VALIDATION_COORDINATEUNCERTAINTY_INRANGE.Response","","","COMPLETE if every VALIDATION_COORDINATEUNCERTAINTY_INRANGE in the MultiRecord has Response.result=COMPLIANT or Response.status=INTERNAL_PREREQUISITES_NOT_MET, otherwise NOT_COMPLETE.","","Measure if all VALIDATION_COORDINATEUNCERTAINTY_INRANGE in a record set are COMPLIANT or INTERNAL_PREREQUISITES_NOT_MET (indicating some empty value)","Conformance: inrange","Measure","MultiRecord","Conformance","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Assurance, filter record set until this measure is COMPLETE.","open","TG2 Validation SPACE Test Conformance CORE","bdq:Spatial-Temporal_Patterns, bdq:Record-Management"
"296","2d90d94b-d384-4bac-aa68-c6800d765882","2024-09-18","MULTIRECORD_MEASURE_COUNT_COMPLIANT_COORDINATEUNCERTAINTY_INRANGE","Measurement over MultiRecord Counting Compliance of Validation dwc:coordinateUncertaintyInMeters In Range","dcterms:Location","bdq:VALIDATION_COORDINATEUNCERTAINTY_INRANGE.Response","","","Count the number of VALIDATION_COORDINATEUNCERTAINTY_INRANGE in the MultiRecord that have Response.result=COMPLIANT.","","Count the number of VALIDATION_COORDINATEUNCERTAINTY_INRANGE in a record set that are COMPLIANT","Conformance: inrange","Measure","MultiRecord","Conformance","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Control, compare the Response.result of this measure with the total number of records to assess work needed on the record set.","open","TG2 Validation SPACE Test Conformance CORE","bdq:Spatial-Temporal_Patterns, bdq:Record-Management"
"297","7c5a6ba0-399d-4570-878a-4a064e2406fe","2024-09-18","MULTIRECORD_MEASURE_QA_MAXELEVATION_INRANGE","Measurement over MultiRecord for QualityAssurance of Validation dwc:maximumElevationInMeters In Range","dcterms:Location","bdq:VALIDATION_MAXELEVATION_INRANGE.Response","","","COMPLETE if every VALIDATION_MAXELEVATION_INRANGE in the MultiRecord has Response.result=COMPLIANT or Response.status=INTERNAL_PREREQUISITES_NOT_MET, otherwise NOT_COMPLETE.","bdq:minimumValidElevationInMeters default = ""-430"",bdq:maximumValidElevationInMeters default = ""8850""","Measure if all VALIDATION_MAXELEVATION_INRANGE in a record set are COMPLIANT or INTERNAL_PREREQUISITES_NOT_MET (indicating some empty value)","Conformance: inrange","Measure","MultiRecord","Conformance","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Assurance, filter record set until this measure is COMPLETE.","open","TG2 Validation SPACE Test Likeliness Parameterized CORE","bdq:Spatial-Temporal_Patterns, bdq:Record-Management"
"296","6a3baf78-5ec3-4a84-8c6b-6876b3a4e3b5","2024-09-18","MULTIRECORD_MEASURE_COUNT_COMPLIANT_MAXELEVATION_INRANGE","Measurement over MultiRecord Counting Compliance of Validation dwc:maximumElevationInMeters In Range","dcterms:Location","bdq:VALIDATION_MAXELEVATION_INRANGE.Response","","","Count the number of VALIDATION_MAXELEVATION_INRANGE in the MultiRecord that have Response.result=COMPLIANT.","bdq:minimumValidElevationInMeters default = ""-430"",bdq:maximumValidElevationInMeters default = ""8850""","Count the number of VALIDATION_MAXELEVATION_INRANGE in a record set that are COMPLIANT","Conformance: inrange","Measure","MultiRecord","Conformance","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Control, compare the Response.result of this measure with the total number of records to assess work needed on the record set.","open","TG2 Validation SPACE Test Likeliness Parameterized CORE","bdq:Spatial-Temporal_Patterns, bdq:Record-Management"
"295","2fea4571-92d0-48a5-a5ba-6caecd647862","2024-09-18","MULTIRECORD_MEASURE_QA_OCCURRENCESTATUS_STANDARD","Measurement over MultiRecord for QualityAssurance of Validation dwc:occurrenceStatus Standard","dwc:Occurrence","bdq:VALIDATION_OCCURRENCESTATUS_STANDARD.Response","","","COMPLETE if every VALIDATION_OCCURRENCESTATUS_STANDARD in the MultiRecord has Response.result=COMPLIANT; otherwise NOT_COMPLETE.","bdq:sourceAuthority default = ""GBIF OccurrenceStatus Vocabulary"" [https://api.gbif.org/v1/vocabularies/OccurrenceStatus]} {""dwc:occurrenceStatus vocabulary API"" [https://api.gbif.org/v1/vocabularies/OccurrenceStatus/concepts]}","Measure if all VALIDATION_OCCURRENCESTATUS_STANDARD in a record set are COMPLIANT","Conformance: standard","Measure","MultiRecord","Conformance","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Assurance, filter record set until this measure is COMPLETE.","open","TG2 Validation OTHER Test VOCABULARY Conformance Parameterized CORE","bdq:Alien-Species, bdq:Spatial-Temporal_Patterns, bdq:Record-Management, bdq:Biotic-Relationships"
